#,Name,RA,DE
146,J140632.16+305338.7,211.634,30.8941
147,J141235.76+304833.8,213.149,30.8094
148,J141143.20+301746.3,212.93,30.2962
149,J135831.44+301528.0,209.631,30.2578
150,J140011.52+295111.5,210.048,29.8532
151,J140104.08+293132.5,210.267,29.5257
152,J135913.44+291438.7,209.806,29.2441
153,J140448.00+304437.6,211.2,30.7438
154,J140059.28+293344.6,210.247,29.5624
155,J140433.60+304136.2,211.14,30.6934
156,J140318.96+293910.8,210.829,29.653
157,J140145.84+292311.7,210.441,29.3866
158,J135943.68+303737.5,209.932,30.6271
159,J140535.76+293105.1,211.399,29.5181
160,J141241.28+312123.4,213.172,31.3565
161,J141341.52+310208.5,213.423,31.0357
162,J140949.92+294151.3,212.458,29.6976
163,J141116.08+291801.4,212.817,29.3004
164,J141011.52+292600.9,212.548,29.4336
165,J135934.08+300534.4,209.892,30.0929
166,J135933.84+295448.6,209.891,29.9135
167,J140105.28+294959.8,210.272,29.8333
168,J135854.00+293745.8,209.725,29.6294
169,J135844.16+291829.8,209.684,29.3083
170,J140347.52+294338.2,210.948,29.7273
171,J140305.76+293623.4,210.774,29.6065
172,J140306.48+293448.0,210.777,29.58
173,J140148.24+292423.4,210.451,29.4065
174,J135935.28+295442.8,209.897,29.9119
175,J140203.36+292902.7,210.514,29.4841
176,J135841.52+311547.1,209.673,31.2631
177,J140643.44+292102.5,211.681,29.3507
178,J140747.52+292133.8,211.948,29.3594
179,J140507.92+293953.6,211.283,29.6649
180,J140530.96+293230.8,211.379,29.5419
181,J141114.88+293745.4,212.812,29.6293
182,J141014.40+293238.7,212.56,29.5441
183,J140424.72+294156.4,211.103,29.699
184,J140515.36+292527.8,211.314,29.4244
185,J141021.12+293818.6,212.588,29.6385
186,J140527.60+301501.8,211.365,30.2505
187,J135836.00+292321.4,209.65,29.3893
188,J141640.32+292904.2,214.168,29.4845
189,J141457.60+302501.9,213.74,30.4172
190,J142729.52+295704.3,216.873,29.9512
191,J142728.56+295656.4,216.869,29.949
192,J141501.68+300220.0,213.757,30.0389
193,J141452.80+291239.9,213.72,29.2111
194,J142219.68+312813.4,215.582,31.4704
195,J141943.68+311215.8,214.932,31.2044
196,J141947.28+304106.3,214.947,30.6851
197,J142010.32+302756.1,215.043,30.4656
198,J142108.16+303748.7,215.284,30.6302
199,J141758.32+304015.9,214.493,30.6711
200,J141906.96+301214.7,214.779,30.2041
201,J141449.92+302457.6,213.708,30.416
202,J141511.28+303244.5,213.797,30.5457
203,J142744.64+304542.1,216.936,30.7617
204,J142748.72+302701.8,216.953,30.4505
205,J142709.36+303018.7,216.789,30.5052
206,J142048.48+301856.5,215.202,30.3157
207,J142500.00+291706.7,216.25,29.2852
208,J142612.72+294142.7,216.553,29.6952
209,J142658.08+293658.6,216.742,29.6163
210,J142640.08+293302.5,216.667,29.5507
211,J142838.88+303804.9,217.162,30.6347
212,J141655.44+292911.0,214.231,29.4864
213,J141742.72+301702.4,214.428,30.284
214,J142709.60+305653.8,216.79,30.9483
215,J143009.60+311257.6,217.54,31.216
216,J142710.80+305650.6,216.795,30.9474
217,J143010.56+311305.5,217.544,31.2182
218,J142814.16+304257.2,217.059,30.7159
219,J142646.08+300857.1,216.692,30.1492
220,J142729.04+295706.8,216.871,29.9519
221,J141548.96+291310.9,213.954,29.2197
222,J141950.88+312620.4,214.962,31.439
223,J141830.24+295123.0,214.626,29.8564
224,J141451.84+305004.2,213.716,30.8345
225,J142016.08+301704.5,215.067,30.2846
226,J142204.80+295825.6,215.52,29.9738
227,J141711.04+294121.8,214.296,29.6894
228,J141512.24+295831.8,213.801,29.9755
229,J141655.20+291615.2,214.23,29.2709
230,J141526.16+292035.8,213.859,29.3433
231,J141623.28+292957.8,214.097,29.4994
232,J141658.08+292344.1,214.242,29.3956
233,J141529.52+292643.8,213.873,29.4455
234,J142201.44+312354.6,215.506,31.3985
235,J142038.64+304715.3,215.161,30.7876
236,J142131.68+303318.0,215.382,30.555
237,J141909.36+310745.1,214.789,31.1292
238,J141801.68+305238.6,214.507,30.8774
239,J142010.56+302409.0,215.044,30.4025
240,J141935.76+301525.2,214.899,30.257
241,J141756.88+292509.1,214.487,29.4192
242,J141841.76+292623.2,214.674,29.4398
243,J141841.28+292651.3,214.672,29.4476
244,J142451.12+292046.6,216.213,29.3463
245,J142624.48+311553.2,216.602,31.2648
246,J142257.36+292632.2,215.739,29.4423
247,J142113.20+295839.7,215.305,29.9777
248,J141952.80+293034.2,214.97,29.5095
249,J142124.72+292904.9,215.353,29.4847
250,J142908.40+303721.3,217.285,30.6226
251,J142644.40+293234.0,216.685,29.5428
252,J142559.04+302825.3,216.496,30.4737
253,J142358.32+294933.9,215.993,29.8261
254,J141624.96+300357.2,214.104,30.0659
255,J141748.96+293448.7,214.454,29.5802
256,J141527.36+291201.0,213.864,29.2003
257,J141739.60+291310.9,214.415,29.2197
258,J141525.68+292819.2,213.857,29.472
259,J155103.36+303157.3,237.764,30.5326
260,J155202.64+302357.4,238.011,30.3993
261,J155508.16+295507.3,238.784,29.9187
262,J155611.28+291254.3,239.047,29.2151
263,J155014.40+304915.9,237.56,30.8211
264,J154951.84+304151.3,237.466,30.6976
265,J155025.92+302953.1,237.608,30.4981
266,J155944.40+292615.7,239.935,29.4377
267,J155009.84+291106.7,237.541,29.1852
268,J160043.20+302528.5,240.18,30.4246
269,J155435.52+291319.5,238.648,29.2221
270,J155506.00+305313.5,238.775,30.8871
271,J155709.60+304719.3,239.29,30.7887
272,J160205.28+294337.9,240.522,29.7272
273,J160056.64+292510.9,240.236,29.4197
274,J155029.28+300749.4,237.622,30.1304
275,J160520.64+311353.0,241.336,31.2314
276,J155631.68+312025.4,239.132,31.3404
277,J155638.40+305221.0,239.16,30.8725
278,J155701.68+300528.3,239.257,30.0912
279,J155123.28+312627.9,237.847,31.4411
280,J155736.72+291126.5,239.403,29.1907
281,J155350.64+311933.2,238.461,31.3259
282,J155528.80+294355.5,238.87,29.7321
283,J155048.96+310404.0,237.704,31.0678
284,J155002.88+303927.0,237.512,30.6575
285,J155002.16+303748.0,237.509,30.63
286,J160014.64+301530.2,240.061,30.2584
287,J160129.52+301308.0,240.373,30.2189
288,J160013.20+292456.5,240.055,29.4157
289,J160203.60+292615.0,240.515,29.4375
290,J155125.44+301332.8,237.856,30.2258
291,J155045.84+301311.6,237.691,30.2199
292,J155124.72+300315.4,237.853,30.0543
293,J160307.20+311958.8,240.78,31.333
294,J160136.00+311353.7,240.4,31.2316
295,J160136.00+310755.5,240.4,31.1321
296,J160049.20+305825.6,240.205,30.9738
297,J160105.28+305153.6,240.272,30.8649
298,J160030.72+302237.5,240.128,30.3771
299,J155356.40+294423.2,238.485,29.7398
300,J155332.16+294117.5,238.384,29.6882
301,J155428.08+293849.5,238.617,29.6471
302,J155601.68+302502.2,239.007,30.4173
303,J160447.28+305755.4,241.197,30.9654
304,J155239.12+295904.2,238.163,29.9845
305,J155036.00+301754.6,237.65,30.2985
306,J161156.64+292716.5,242.986,29.4546
307,J160729.52+301324.6,241.873,30.2235
308,J161242.96+294604.0,243.179,29.7678
309,J160709.84+311422.2,241.791,31.2395
310,J160540.56+302547.6,241.419,30.4299
311,J160643.92+293432.5,241.683,29.5757
312,J160734.32+291117.8,241.893,29.1883
313,J160842.48+300259.2,242.177,30.0498
314,J161229.76+310456.2,243.124,31.0823
315,J161258.56+305337.3,243.244,30.8937
316,J161248.24+302215.6,243.201,30.371
317,J161038.64+294639.7,242.661,29.7777
318,J161144.64+294454.2,242.936,29.7484
319,J161303.36+310355.8,243.264,31.0655
320,J161221.12+293851.0,243.088,29.6475
321,J161240.80+293047.5,243.17,29.5132
322,J161045.12+292750.4,242.688,29.464
323,J160709.36+305232.8,241.789,30.8758
324,J161829.28+300552.4,244.622,30.0979
325,J161648.24+300103.3,244.201,30.0176
326,J160705.76+301303.3,241.774,30.2176
327,J161540.32+294118.6,243.918,29.6885
328,J161626.64+305819.9,244.111,30.9722
329,J160854.96+300659.0,242.229,30.1164
330,J160824.24+294517.6,242.101,29.7549
331,J160914.88+310502.0,242.312,31.0839
332,J160823.76+305717.6,242.099,30.9549
333,J160720.16+302846.5,241.834,30.4796
334,J161801.44+291107.8,244.506,29.1855
335,J161546.56+295252.6,243.944,29.8813
336,J160850.88+295805.1,242.212,29.9681
337,J160927.60+295605.6,242.365,29.9349
338,J161151.84+305624.7,242.966,30.9402
339,J161300.00+305022.9,243.25,30.8397
340,J160746.32+305222.4,241.943,30.8729
341,J160826.40+302444.6,242.11,30.4124
342,J160925.68+303957.2,242.357,30.6659
343,J161303.84+295407.2,243.266,29.902
344,J161144.64+294524.4,242.936,29.7568
345,J160624.96+310018.7,241.604,31.0052
346,J160523.28+302621.8,241.347,30.4394
347,J161755.68+301233.8,244.482,30.2094
348,J161821.36+295209.8,244.589,29.8694
349,J161437.92+301411.4,243.658,30.2365
350,J161424.96+295850.1,243.604,29.9806
351,J161412.72+295450.7,243.553,29.9141
352,J160530.00+300216.0,241.375,30.0378
353,J160734.32+293148.3,241.893,29.5301
354,J160929.76+295923.6,242.374,29.9899
355,J161249.44+311258.6,243.206,31.2163
356,J161225.20+304638.6,243.105,30.7774
357,J161211.76+293315.1,243.049,29.5542
358,J160817.28+304733.0,242.072,30.7925
359,J161506.72+300619.0,243.778,30.1053
360,J161239.36+312825.3,243.164,31.4737
361,J161612.24+304045.4,244.051,30.6793
362,J163028.56+301505.0,247.619,30.2514
363,J162130.24+294539.9,245.376,29.7611
364,J162200.96+305222.0,245.504,30.8728
365,J162726.88+294718.2,246.862,29.7884
366,J162222.08+310017.6,245.592,31.0049
367,J162259.52+304047.2,245.748,30.6798
368,J162120.88+300648.2,245.337,30.1134
369,J162151.60+295319.6,245.465,29.8888
370,J162718.00+304014.5,246.825,30.6707
371,J162514.88+305027.2,246.312,30.8409
372,J162706.00+295954.9,246.775,29.9986
373,J162344.64+300615.4,245.936,30.1043
374,J162844.40+312938.4,247.185,31.494
375,J163233.84+291307.3,248.141,29.2187
376,J162243.92+301317.7,245.683,30.2216
377,J162120.40+295921.4,245.335,29.9893
378,J163501.44+305412.2,248.756,30.9034
379,J163203.36+310338.1,248.014,31.0606
380,J162525.92+301833.8,246.358,30.3094
381,J162412.24+300944.6,246.051,30.1624
382,J162616.08+300027.7,246.567,30.0077
383,J162423.28+291122.5,246.097,29.1896
384,J162426.64+292335.1,246.111,29.3931
385,J162821.84+311755.6,247.091,31.2988
386,J162628.56+302904.5,246.619,30.4846
387,J162733.12+301353.0,246.888,30.2314
388,J162156.64+302115.8,245.486,30.3544
389,J162318.72+302801.5,245.828,30.4671
390,J163354.96+295516.6,248.479,29.9213
391,J163224.24+291156.0,248.101,29.1989
392,J163048.24+301455.3,247.701,30.2487
393,J163002.64+301230.6,247.511,30.2085
394,J163119.92+300210.6,247.833,30.0363
395,J162916.56+291354.4,247.319,29.2318
396,J162134.32+300606.8,245.393,30.1019
397,J162125.44+295129.1,245.356,29.8581
398,J162225.20+294128.3,245.605,29.6912
399,J162453.76+312230.7,246.224,31.3752
400,J162352.56+310949.6,245.969,31.1638
401,J162755.44+294245.0,246.981,29.7125
402,J162156.16+311802.5,245.484,31.3007
403,J162538.40+310452.3,246.41,31.0812
404,J162136.72+305210.5,245.403,30.8696
405,J162204.80+304125.4,245.52,30.6904
406,J163000.48+301639.0,247.502,30.2775
407,J162104.32+293025.9,245.268,29.5072
408,J162317.04+301543.5,245.821,30.2621
